epoch,train_loss,val_loss,val_dice,val_iou,val_hd95,val_sensitivity,val_specificity,lr
1,0.888444,0.916339,0.160865,0.087528,36.1871,1.000000,0.000000,1.00e-04
2,0.824662,0.901764,0.305738,0.181127,12.0391,0.612950,0.764062,1.00e-04
3,0.788889,0.859061,0.365597,0.227285,41.0631,0.250470,0.991385,1.00e-04
4,0.764309,0.798098,0.577972,0.408016,12.1524,0.553779,0.966927,1.00e-04
5,0.744517,0.752660,0.604853,0.434274,5.0907,0.742329,0.931983,1.00e-04
6,0.727215,0.732966,0.602752,0.432667,4.6320,0.784136,0.921242,1.00e-04
7,0.718549,0.726520,0.596141,0.425899,4.2182,0.810494,0.912508,1.00e-04
8,0.711907,0.725416,0.594574,0.424596,4.4916,0.793063,0.915270,1.00e-04
9,0.702991,0.711271,0.603864,0.433568,3.8033,0.814344,0.915143,1.00e-04
10,0.694236,0.702703,0.623177,0.453417,3.5786,0.810283,0.924348,1.00e-04
11,0.681566,0.690659,0.636304,0.467593,3.4886,0.820876,0.927287,1.00e-04
12,0.680930,0.702282,0.600147,0.431337,4.0014,0.824987,0.908969,1.00e-04
13,0.677839,0.690602,0.640522,0.471781,3.9329,0.771834,0.939107,1.00e-04
14,0.667736,0.691040,0.619712,0.450017,3.9900,0.816031,0.921710,1.00e-04
15,0.658214,0.686972,0.637195,0.469051,3.9065,0.815218,0.928120,1.00e-04
16,0.648179,0.672980,0.649944,0.482865,3.6348,0.826356,0.930977,1.00e-04
17,0.649055,0.672000,0.642976,0.475333,3.7931,0.819420,0.929699,1.00e-04
18,0.637829,0.664272,0.652021,0.484819,3.3528,0.817990,0.933897,1.00e-04
19,0.634364,0.657346,0.660299,0.493757,3.3065,0.816973,0.937141,1.00e-04
20,0.632652,0.660577,0.651308,0.483935,3.3816,0.819146,0.933286,1.00e-04
21,0.621987,0.644667,0.672526,0.507357,3.1511,0.817852,0.941479,1.00e-04
22,0.620189,0.647163,0.648874,0.481268,3.0601,0.833661,0.929574,1.00e-04
23,0.613926,0.640756,0.662108,0.496022,3.0463,0.831386,0.934938,1.00e-04
24,0.613425,0.640339,0.673877,0.508680,3.1076,0.804282,0.944547,1.00e-04
25,0.603991,0.625585,0.687376,0.524290,3.0426,0.817939,0.946517,1.00e-04
26,0.603278,0.630637,0.669294,0.503921,3.2623,0.804483,0.942651,1.00e-04
27,0.589866,0.622196,0.680971,0.516896,3.2723,0.805230,0.946668,1.00e-04
28,0.592456,0.621167,0.675314,0.510304,3.3022,0.787199,0.948215,1.00e-04
29,0.581131,0.605623,0.694662,0.532657,3.1149,0.812655,0.949859,1.00e-04
30,0.575430,0.608137,0.692747,0.530511,3.2252,0.800558,0.951442,1.00e-04
31,0.585450,0.617186,0.662254,0.495790,3.2032,0.795706,0.942079,1.00e-04
32,0.576564,0.599929,0.694038,0.532259,2.9534,0.808975,0.950092,1.00e-04
33,0.561751,0.595945,0.697591,0.536631,3.1690,0.819821,0.949412,1.00e-04
34,0.566466,0.590473,0.702607,0.542209,3.1509,0.803218,0.954174,1.00e-04
35,0.557789,0.584358,0.694836,0.533361,2.8107,0.834214,0.945963,1.00e-04
36,0.568507,0.583049,0.699086,0.537858,3.0530,0.797638,0.953958,1.00e-04
37,0.549311,0.577172,0.698606,0.537179,2.8358,0.807252,0.952110,1.00e-04
38,0.552544,0.582811,0.675200,0.510113,2.7329,0.828414,0.940438,1.00e-04
39,0.546943,0.564190,0.717127,0.559459,3.0455,0.795717,0.959883,1.00e-04
40,0.541912,0.568280,0.695118,0.533172,2.7334,0.817424,0.949213,1.00e-04
41,0.536102,0.562299,0.701107,0.540539,2.7150,0.834059,0.948127,1.00e-04
42,0.532523,0.557025,0.707784,0.548141,3.1943,0.773943,0.960876,1.00e-04
43,0.527654,0.543661,0.720459,0.563616,2.9626,0.809981,0.958375,1.00e-04
44,0.516235,0.536858,0.722212,0.565649,2.8520,0.806172,0.959508,1.00e-04
45,0.518897,0.537168,0.725530,0.569771,3.4464,0.787884,0.963659,1.00e-04
46,0.523548,0.538561,0.711570,0.552771,2.9830,0.813309,0.955091,1.00e-04
47,0.515285,0.536125,0.708909,0.549450,3.2340,0.795634,0.957331,1.00e-04
48,0.510683,0.526434,0.722056,0.565387,2.6995,0.815417,0.957960,1.00e-04
49,0.508242,0.541790,0.699289,0.537951,2.9689,0.788605,0.955580,1.00e-04
50,0.507962,0.537005,0.697853,0.536668,2.5309,0.829674,0.947702,1.00e-04
