epoch,train_loss,val_loss,val_dice,val_iou,val_hd95,val_sensitivity,val_specificity,lr
1,0.861660,0.900885,0.000226,0.000113,303.6915,0.000113,0.999998,1.00e-04
2,0.814755,0.884700,0.005594,0.002824,172.2730,0.002826,0.999811,1.00e-04
3,0.770521,0.837416,0.288812,0.171757,54.1171,0.178878,0.996582,1.00e-04
4,0.747646,0.747037,0.601650,0.431829,11.8147,0.565462,0.971441,1.00e-04
5,0.734159,0.703568,0.637011,0.468066,5.5482,0.703775,0.951952,1.00e-04
6,0.717735,0.706131,0.603556,0.433368,4.4422,0.790916,0.919977,1.00e-04
7,0.709793,0.694172,0.612569,0.442050,3.9533,0.787641,0.924877,1.00e-04
8,0.701082,0.695885,0.584041,0.414574,4.3449,0.828513,0.900973,1.00e-04
9,0.696502,0.678641,0.615823,0.446429,4.1454,0.806108,0.921256,1.00e-04
10,0.688928,0.676719,0.621627,0.452732,3.7517,0.810135,0.922092,1.00e-04
11,0.682680,0.673087,0.610294,0.440762,3.7957,0.834015,0.912820,1.00e-04
12,0.675942,0.656649,0.653457,0.486084,3.6899,0.787087,0.940619,1.00e-04
13,0.666322,0.656756,0.649789,0.482305,3.2592,0.826318,0.931019,1.00e-04
14,0.662341,0.649361,0.659944,0.493596,3.8940,0.780061,0.943641,1.00e-04
15,0.658010,0.639422,0.655697,0.488363,3.1596,0.815898,0.935846,1.00e-04
16,0.651559,0.633901,0.681560,0.517548,3.1928,0.786248,0.950385,1.00e-04
17,0.648699,0.616996,0.692656,0.530303,3.3463,0.774403,0.955976,1.00e-04
18,0.647003,0.699693,0.536264,0.371033,5.1362,0.893799,0.852384,1.00e-04
19,0.628904,0.611874,0.671411,0.506179,3.0804,0.811944,0.942005,1.00e-04
20,0.630389,0.615985,0.678088,0.513658,2.8297,0.814662,0.943821,1.00e-04
21,0.624187,0.620529,0.669792,0.504275,2.9628,0.794855,0.944787,1.00e-04
22,0.616712,0.597028,0.691454,0.528923,2.9756,0.796966,0.951679,1.00e-04
23,0.613544,0.587704,0.709101,0.549786,2.9947,0.785703,0.959071,1.00e-04
24,0.611581,0.602566,0.665175,0.499061,2.9619,0.801865,0.941911,1.00e-04
25,0.612941,0.587306,0.691001,0.528497,3.0502,0.804278,0.950171,1.00e-04
26,0.602845,0.574306,0.691858,0.529574,3.0191,0.810421,0.949280,1.00e-04
27,0.599701,0.586336,0.687325,0.524019,3.6068,0.723953,0.963632,1.00e-04
28,0.592303,0.567631,0.697984,0.536713,3.1193,0.789061,0.955257,1.00e-04
29,0.575930,0.565795,0.707527,0.547827,2.9522,0.778483,0.960117,1.00e-04
30,0.586120,0.565686,0.692255,0.529754,3.0023,0.780314,0.954911,1.00e-04
31,0.573819,0.556633,0.698350,0.537026,2.9452,0.797070,0.953928,1.00e-04
32,0.572178,0.544370,0.711582,0.552703,3.0732,0.781856,0.960666,5.00e-05
33,0.568503,0.544267,0.709763,0.550563,2.8918,0.786085,0.959240,5.00e-05
34,0.560736,0.541774,0.715268,0.557203,2.7395,0.796012,0.959243,5.00e-05
35,0.564404,0.540546,0.707506,0.547770,2.9246,0.778530,0.959984,5.00e-05
36,0.557380,0.536233,0.715376,0.557299,2.8454,0.790604,0.960204,5.00e-05
37,0.551948,0.529943,0.715977,0.558034,2.8001,0.792824,0.960028,5.00e-05
38,0.549837,0.528761,0.712130,0.553433,2.7911,0.790920,0.959114,5.00e-05
39,0.551308,0.527172,0.715666,0.557757,2.8975,0.794900,0.959535,5.00e-05
40,0.547711,0.526092,0.713274,0.554853,2.5756,0.807474,0.956698,5.00e-05
41,0.547207,0.517355,0.720919,0.564033,2.9721,0.791706,0.961611,5.00e-05
42,0.544132,0.527195,0.709537,0.550211,2.9165,0.782210,0.959997,5.00e-05
43,0.544169,0.525602,0.698524,0.537166,2.8220,0.791026,0.954982,5.00e-05
44,0.533975,0.508691,0.725877,0.570082,3.3267,0.770914,0.966643,5.00e-05
45,0.528090,0.503667,0.733278,0.579209,3.3403,0.768254,0.969066,5.00e-05
46,0.521865,0.509337,0.721016,0.564125,2.8749,0.785013,0.962898,5.00e-05
47,0.534503,0.517149,0.706712,0.546891,2.8261,0.787168,0.958238,5.00e-05
48,0.519698,0.510148,0.718138,0.560622,2.7445,0.791057,0.960974,5.00e-05
49,0.520495,0.506125,0.720823,0.563898,2.9031,0.775934,0.964319,5.00e-05
50,0.518603,0.494982,0.727623,0.572239,2.8092,0.792530,0.963450,5.00e-05
